,origintime,latitude,longitude,depth
138,2003-02-04 22:10:45.484392,-75.260563,160.774998,-4930.664
139,2003-02-06 07:49:07.630236,-75.113622,161.211414,117724.609
140,2003-02-08 07:23:22.985396,-75.386396,160.393273,12264.648
141,2003-02-08 11:07:13.389436,-75.110191,161.948765,62255.859000000004
142,2003-02-08 14:30:19.823602,-75.186601,160.366952,1586.914
143,2003-02-09 08:11:39.065855,-75.417424,160.654593,-4930.664
144,2003-02-09 11:57:04.678776,-75.390674,160.670675,-4930.664
145,2003-02-09 12:42:56.622222,-75.473915,160.83771,-4965.332
146,2003-02-10 00:08:45.385102,-75.371055,160.767302,-4930.664
147,2003-02-10 02:02:49.723769,-75.388161,160.693536,-4965.332
148,2003-02-10 11:41:38.806178,-75.248858,160.959934,44783.203
149,2003-02-11 00:01:40.542990,-75.323052,160.830105,-4930.664
150,2003-02-11 02:54:33.223666,-75.351227,160.381539,-4861.328
151,2003-02-11 03:20:40.977580,-75.247203,160.779808,47071.289
152,2003-02-11 07:05:29.529636,-75.405467,160.821498,-4965.332
153,2003-02-11 11:41:39.983891,-75.423449,160.179967,-3959.961
154,2003-02-11 11:59:09.638086,-75.425959,160.269601,-2503.9060000000004
155,2003-02-11 13:04:14.401484,-75.376765,160.767855,-4930.664
156,2003-02-11 17:19:17.565230,-75.089734,160.514207,8589.844
157,2003-02-11 20:09:53.745242,-75.334783,160.782205,-4930.664
158,2003-02-11 22:46:38.719019,-75.40504,160.81375,-4930.664
159,2003-02-12 03:59:38.337283,-75.340219,160.825698,2002.93
160,2003-02-12 04:26:54.769576,-75.403272,160.631755,-4861.328
161,2003-02-12 22:45:27.883682,-75.028615,160.864159,43951.172
162,2003-02-12 22:54:25.497803,-75.388856,160.736701,-4965.332
163,2003-02-13 08:13:21.478768,-75.31284,160.933229,2002.93
164,2003-02-14 06:04:28.136332,-75.271253,161.023475,61701.172
165,2003-02-15 08:18:41.593558,-75.174753,160.636242,12056.641000000001
166,2003-02-16 08:14:26.067766,-75.310258,160.893135,2072.266
167,2003-02-17 02:48:16.042788,-75.370032,160.432066,-4029.2969999999996
168,2003-02-19 06:51:05.837718,-75.179555,161.061742,46169.922
169,2003-02-23 04:30:29.186801,-75.346954,160.479468,-4029.2969999999996
170,2003-02-23 14:45:04.549060,-75.187594,160.357909,-4861.328
171,2003-02-25 07:10:07.512803,-75.174613,160.66051,11779.297
172,2003-02-27 02:40:04.153193,-75.151193,160.755415,25091.797
173,2003-02-27 03:12:44.960885,-75.170877,160.648042,52826.172
174,2003-02-27 17:32:56.421626,-74.906823,160.851956,29806.641
175,2003-03-02 05:21:02.842965,-75.386158,160.223983,-4861.328
176,2003-11-01 01:10:10.660271,-75.1094,160.739382,54212.890999999996
177,2003-11-11 00:05:08.456364,-75.365864,160.299593,-4930.664
178,2003-11-12 08:52:17.106912,-75.222068,160.31157,-4861.328
179,2003-11-15 07:35:54.608267,-75.164178,160.477614,9283.203
180,2003-11-15 11:31:09.247867,-75.289975,160.450606,10947.266000000001
181,2003-11-15 22:55:45.411793,-75.215755,161.059829,79035.156
182,2003-11-16 04:59:11.137673,-75.148786,160.833969,47972.656
183,2003-11-16 06:50:39.944878,-75.098416,160.665879,8451.172
184,2003-11-16 07:21:29.545304,-75.229834,161.2077,29113.281
185,2003-11-16 12:01:57.587333,-75.24212,160.50189,28558.594
186,2003-11-18 03:49:15.812321,-75.371247,160.136995,-4861.328
187,2003-11-18 12:50:12.870645,-75.254403,160.69202,11224.608999999999
188,2003-11-19 00:05:55.069910,-75.342893,160.328778,-4375.977
189,2003-11-19 10:40:41.722423,-75.39238,160.332123,-4930.664
190,2003-11-20 01:09:29.473606,-75.223021,160.055908,6787.109
191,2003-11-20 01:24:57.192582,-75.41594,160.386149,-4861.328
192,2003-11-22 12:27:53.201788,-75.369597,160.693368,-4930.664
193,2003-11-22 22:10:18.130325,-75.309577,160.991071,962.8910000000001
194,2003-11-23 00:00:12.397797,-75.246446,160.895625,13235.352
195,2003-11-23 03:55:27.382997,-75.280753,160.743328,45060.547
196,2003-11-23 11:51:37.905019,-75.260206,160.036363,-4375.977
197,2003-11-23 22:09:46.008624,-75.385862,160.297827,-4861.328
198,2003-11-24 01:41:36.921648,-74.999162,161.233296,53935.547
199,2003-11-24 05:17:21.313740,-75.209534,161.126052,45060.547
200,2003-11-24 23:09:16.009716,-75.252836,160.792557,58303.711
201,2003-11-25 06:06:21.710345,-75.182244,160.482032,11016.602
202,2003-11-25 09:45:23.937298,-75.309119,160.920579,616.2109999999999
203,2003-11-25 23:04:48.190926,-75.284542,160.581653,-1047.852
204,2003-11-26 07:15:33.353427,-75.255539,160.95761,6717.773
205,2003-11-26 15:30:20.733361,-75.391641,160.897093,-4063.9649999999997
206,2003-11-26 18:52:11.245503,-75.412553,161.004928,-4115.967000000001
207,2003-11-26 22:03:18.122008,-75.393965,160.974339,-4965.332
208,2003-11-27 00:57:06.191565,-75.339289,160.666042,2973.633
209,2003-11-27 02:16:43.768354,-75.362066,160.870156,-4289.307
210,2003-11-27 03:04:58.113493,-74.873957,161.944286,69189.453
211,2003-11-27 05:23:38.634787,-75.377451,160.84714,-337.158
212,2003-11-27 05:56:30.166263,-75.36083,160.840833,-2521.2400000000002
213,2003-11-27 09:56:04.654850,-75.40604,160.729087,-4965.332
214,2003-11-27 14:40:51.858802,-75.392018,160.980282,-4965.332
215,2003-11-27 16:25:06.661380,-75.217481,160.953483,18782.227
216,2003-11-27 16:50:37.560886,-75.412884,161.025011,-4982.666
217,2003-11-27 17:27:24.314277,-75.375995,160.956967,-3439.9410000000003
218,2003-11-27 18:57:33.900106,-75.417699,160.768748,18158.203
219,2003-11-27 19:55:45.109226,-75.378056,160.770672,468.872
