Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
657,122.441406,-4.824219,,127.265625,,,YES,,,YES,Original IDE swithed to shallow event
659,108.554688,-4.824219,,113.378907,,,YES,,,YES,Original IDE swithed to shallow event
660,117.519531,117.519531,,0,YES,,YES,YES,,,
661,112.773438,-4.824219,,117.597657,,,YES,,,YES,Original IDE swithed to shallow event
662,130.703125,104.511719,,26.191406,,,YES,YES,,,
663,129.648438,129.648438,,0,YES,,YES,YES,,,
666,129.648438,129.648438,,0,YES,,YES,YES,,,
667,116.992188,-4.824219,,121.816407,,,YES,,,YES,Original IDE swithed to shallow event
669,127.011719,127.890625,,0.878906,YES,,YES,YES,,,
670,137.382812,137.382812,,0,YES,,YES,YES,,,
671,128.945312,128.945312,,0,YES,,YES,YES,,,
672,127.539062,-4.824219,,132.363281,,,YES,,,YES,Original IDE swithed to shallow event
673,115.058594,-4.912109,,119.970703,,,YES,,,YES,Original IDE swithed to shallow event
674,105.390625,84.824219,,20.566406,,,YES,YES,,,
675,115.585938,-4.824219,,120.410157,,,YES,,,YES,Original IDE swithed to shallow event
676,102.050781,-4.912109,,106.96289,,,YES,,,YES,Original IDE swithed to shallow event
677,122.441406,-4.824219,,127.265625,,,YES,,,YES,Original IDE swithed to shallow event
678,114.882812,-4.824219,,119.707031,,,YES,,,YES,Original IDE swithed to shallow event
681,100.117188,-4.824219,,104.941407,,,YES,,,YES,Original IDE swithed to shallow event
682,137.558594,137.558594,,0,YES,,YES,YES,,,
792,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
794,-4.648438,111.367188,,116.015626,,,,YES,YES,,Original shallow event switched to IDE event
795,115.585938,-4.648438,,120.234376,,,YES,,,YES,Original IDE swithed to shallow event
796,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
797,122.265625,86.757812,,35.507813,,,YES,YES,,,
798,129.296875,98.007812,,31.289063,,,YES,YES,,,
800,115.761719,-4.648438,,120.410157,,,YES,,,YES,Original IDE swithed to shallow event
801,126.132812,-4.824219,,130.957031,,,YES,,,YES,Original IDE swithed to shallow event
802,123.496094,-4.824219,,128.320313,,,YES,,,YES,Original IDE swithed to shallow event
803,3.085938,-4.824219,,7.910157,YES,,,,YES,YES,
804,102.578125,84.648438,,17.929687,YES,,YES,YES,,,
805,131.757812,131.230469,,0.527343,YES,,YES,YES,,,
